species,genus,group,overlap_type,protocol_usage,group_order
Pterocarpus macrocarpus,Pterocarpus,B,genus_overlap_only,"P2,P3",21
Terminalia ivorensis,Terminalia,B,genus_overlap_only,"P2,P3",22
Myroxylon balsamum,Myroxylon,C,macro_only_non_overlap,P3,1
Myroxylon peruiferum,Myroxylon,C,macro_only_non_overlap,P3,2
Detarium macrocarpum,Detarium,C,macro_only_non_overlap,P3,3
Pachyelasma tessmannii,Pachyelasma,C,macro_only_non_overlap,P3,4
Dalbergia oliveri,Dalbergia,C,macro_only_non_overlap,P3,5
Xylia xylocarpa,Xylia,C,macro_only_non_overlap,P3,6
Qualea paraensis,Qualea,C,macro_only_non_overlap,P3,7
Hevea brasiliensis,Hevea,C,macro_only_non_overlap,P3,8
Cinnamomum camphora,Cinnamomum,C,macro_only_non_overlap,P3,9
Lithocarpus ducampii,Lithocarpus,C,macro_only_non_overlap,P3,10
Magnolia hypolampra,Magnolia,C,macro_only_non_overlap,P3,11
Toona sureni,Toona,C,macro_only_non_overlap,P3,12
Sindora cochinchinensis,Sindora,C,macro_only_non_overlap,P3,13
Callitris columellaris,Callitris,C,macro_only_non_overlap,P3,14
Didelotia africana,Didelotia,C,macro_only_non_overlap,P3,15
Tetraberlinia bifoliolata,Tetraberlinia,C,macro_only_non_overlap,P3,16
Hymenaea courbaril,Hymenaea,C,macro_only_non_overlap,P3,17
Distemonanthus benthamianus,Distemonanthus,C,macro_only_non_overlap,P3,18
Burretiodendron tonkinense,Burretiodendron,C,macro_only_non_overlap,P3,19
Cylicodiscus gabunensis,Cylicodiscus,C,macro_only_non_overlap,P3,20
Fokienia hodginsii,Fokienia,C,macro_only_non_overlap,P3,21
Cunninghamia lanceolata,Cunninghamia,C,macro_only_non_overlap,P3,22
Quercus robur,Quercus,C,macro_only_non_overlap,P3,23
Quercus rubra,Quercus,C,macro_only_non_overlap,P3,24
Fraxinus excelsior,Fraxinus,C,macro_only_non_overlap,P3,25
Dalbergia cochinchinensis,Dalbergia,C,macro_only_non_overlap,P3,26
Acer saccharinum,Acer,C,macro_only_non_overlap,P3,27
Eucalyptus grandis,Eucalyptus,C,macro_only_non_overlap,P3,28
Eucalyptus saligna,Eucalyptus,C,macro_only_non_overlap,P3,29
Guarea cedrata,Guarea,C,macro_only_non_overlap,P3,30
Prunus serotina,Prunus,C,macro_only_non_overlap,P3,31
Clarisia racemosa,Clarisia,C,macro_only_non_overlap,P3,32
Acacia melanoxylon,Acacia,C,macro_only_non_overlap,P3,33
Hopea pierrei,Hopea,C,macro_only_non_overlap,P3,34
Samanea saman,Samanea,C,macro_only_non_overlap,P3,35
Artocarpus heterophyllus,Artocarpus,C,macro_only_non_overlap,P3,36
Colophospermum mopane,Colophospermum,C,macro_only_non_overlap,P3,37
Tectona grandis,Tectona,C,macro_only_non_overlap,P3,38
Bagassa guianensis,Bagassa,C,macro_only_non_overlap,P3,39
Aglaia cucullata,Aglaia,C,macro_only_non_overlap,P3,40
Dicorynia guianensis,Dicorynia,C,macro_only_non_overlap,P3,41
Bombax ceiba,Bombax,C,macro_only_non_overlap,P3,42
Cryptomeria japonica,Cryptomeria,C,macro_only_non_overlap,P3,43
Dalbergia melanoxylon,Dalbergia,C,macro_only_non_overlap,P3,44
Dipterocarpus costatus,Dipterocarpus,C,macro_only_non_overlap,P3,45
