protocol,split,species,protocol_group,total_samples,groups_in_split,macro_samples,micro_samples,phase1_macro_samples,phase2_macro_samples,present_in_split
p1,train,Tieghemella heckelii,A,324,9,320,4,0,320,1
p1,train,Triplochiton scleroxylon,A,329,9,322,7,0,322,1
p1,train,Zanthoxylum gilletii,A,323,9,320,3,0,320,1
p1,val,Afzelia africana,A,6,4,3,3,3,0,1
p1,val,Afzelia bella,A,43,2,40,3,0,40,1
p1,val,Afzelia pachyloba,A,18,3,16,2,16,0,1
p1,val,Albizia adianthifolia,A,42,2,40,2,0,40,1
p1,val,Albizia ferruginea,A,47,7,40,7,0,40,1
p1,val,Alstonia boonei,A,43,2,40,3,0,40,1
p1,val,Amphimas pterocarpoides,A,74,3,71,3,0,71,1
p1,val,Autranella congolensis,A,66,2,63,3,63,0,1
p1,val,Canarium schweinfurthii,A,46,3,40,6,0,40,1
p1,val,Entandrophragma angolense,A,41,2,40,1,0,40,1
p1,val,Entandrophragma cylindricum,A,105,2,104,1,104,0,1
p1,val,Entandrophragma utile,A,97,2,96,1,96,0,1
p1,val,Funtumia africana,A,43,2,40,3,0,40,1
p1,val,Gilbertiodendron dewevrei,A,135,2,134,1,134,0,1
p1,val,Guibourtia arnoldiana,A,37,7,29,8,0,29,1
p1,val,Holoptelea grandis,A,43,2,40,3,0,40,1
p1,val,Klainedoxa gabonensis,A,136,2,132,4,132,0,1
p1,val,Lophira alata,A,2,1,0,2,0,0,1
p1,val,Mammea africana,A,43,2,40,3,0,40,1
p1,val,Milicia excelsa,A,45,9,32,13,32,0,1
p1,val,Millettia laurentii,A,1,1,0,1,0,0,1
p1,val,Morus mesozygia,A,43,4,40,3,0,40,1
p1,val,Musanga cecropioides,A,43,2,40,3,0,40,1
p1,val,Nauclea diderrichii,A,9,8,4,5,4,0,1
p1,val,Pericopsis elata,A,87,2,84,3,84,0,1
p1,val,Petersianthus macrocarpus,A,43,2,40,3,0,40,1
p1,val,Piptadeniastrum africanum,A,101,2,100,1,100,0,1
p1,val,Pterocarpus soyauxii,A,124,3,123,1,123,0,1
p1,val,Pycnanthus angolensis,A,41,2,40,1,0,40,1
p1,val,Terminalia superba,A,133,2,132,1,132,0,1
p1,val,Tieghemella heckelii,A,43,2,40,3,0,40,1
p1,val,Triplochiton scleroxylon,A,43,2,40,3,0,40,1
p1,val,Zanthoxylum gilletii,A,42,2,40,2,0,40,1
p1,test,Afzelia africana,A,57,3,55,2,55,0,1
p1,test,Afzelia bella,A,40,1,40,0,0,40,1
p1,test,Afzelia pachyloba,A,21,2,20,1,20,0,1
p1,test,Albizia adianthifolia,A,49,5,40,9,0,40,1
p1,test,Albizia ferruginea,A,71,3,70,1,0,70,1
p1,test,Alstonia boonei,A,43,2,40,3,0,40,1
p1,test,Amphimas pterocarpoides,A,46,3,40,6,0,40,1
p1,test,Autranella congolensis,A,62,2,59,3,59,0,1
p1,test,Canarium schweinfurthii,A,45,3,40,5,0,40,1
p1,test,Entandrophragma angolense,A,79,3,78,1,0,78,1
p1,test,Entandrophragma cylindricum,A,97,2,96,1,96,0,1
p1,test,Entandrophragma utile,A,95,2,94,1,94,0,1
p1,test,Funtumia africana,A,46,3,40,6,0,40,1
p1,test,Gilbertiodendron dewevrei,A,1,1,0,1,0,0,1
p1,test,Guibourtia arnoldiana,A,90,4,89,1,0,89,1
p1,test,Holoptelea grandis,A,43,2,40,3,0,40,1
p1,test,Klainedoxa gabonensis,A,2,1,0,2,0,0,1
p1,test,Lophira alata,A,131,1,131,0,131,0,1
p1,test,Mammea africana,A,45,3,40,5,0,40,1
p1,test,Milicia excelsa,A,62,4,60,2,60,0,1
p1,test,Millettia laurentii,A,111,2,110,1,110,0,1
p1,test,Morus mesozygia,A,48,7,40,8,0,40,1
p1,test,Musanga cecropioides,A,43,2,40,3,0,40,1
p1,test,Nauclea diderrichii,A,9,7,4,5,4,0,1
p1,test,Pericopsis elata,A,89,2,86,3,86,0,1
p1,test,Petersianthus macrocarpus,A,44,3,39,5,0,39,1
p1,test,Piptadeniastrum africanum,A,97,2,96,1,96,0,1
p1,test,Pterocarpus soyauxii,A,123,3,122,1,122,0,1
p1,test,Pycnanthus angolensis,A,42,3,40,2,0,40,1
p1,test,Terminalia superba,A,1,1,0,1,0,0,1
p1,test,Tieghemella heckelii,A,43,2,40,3,0,40,1
p1,test,Triplochiton scleroxylon,A,46,2,40,6,0,40,1
p1,test,Zanthoxylum gilletii,A,46,3,40,6,0,40,1
