protocol,split,species,protocol_group,total_samples,groups_in_split,macro_samples,micro_samples,phase1_macro_samples,phase2_macro_samples,present_in_split
p3,train,Gilbertiodendron dewevrei,A,166,9,150,16,150,0,1
p3,train,Guarea cedrata,C,335,1,335,0,335,0,1
p3,train,Guibourtia arnoldiana,A,248,12,237,11,0,237,1
p3,train,Guibourtia coleosperma,B,360,1,360,0,360,0,1
p3,train,Guibourtia demeusei,B,11,5,0,11,0,0,1
p3,train,Hevea brasiliensis,C,603,9,603,0,443,160,1
p3,train,Holoptelea grandis,A,287,9,280,7,0,280,1
p3,train,Hopea pierrei,C,156,1,156,0,156,0,1
p3,train,Hymenaea courbaril,C,211,1,211,0,211,0,1
p3,train,Khaya anthotheca,B,19,9,0,19,0,0,1
p3,train,Khaya grandifoliola,B,280,7,280,0,0,280,1
p3,train,Khaya ivorensis,B,280,7,280,0,0,280,1
p3,train,Khaya senegalensis,B,134,1,134,0,134,0,1
p3,train,Klainedoxa gabonensis,A,161,4,149,12,149,0,1
p3,train,Lithocarpus ducampii,C,290,2,290,0,290,0,1
p3,train,Lophira alata,A,145,2,139,6,139,0,1
p3,train,Magnolia hypolampra,C,224,1,224,0,224,0,1
p3,train,Mammea africana,A,329,11,320,9,0,320,1
p3,train,Milicia excelsa,A,341,16,324,17,324,0,1
p3,train,Millettia laurentii,A,162,7,149,13,149,0,1
p3,train,Morus mesozygia,A,332,14,320,12,0,320,1
p3,train,Musanga cecropioides,A,332,11,320,12,0,320,1
p3,train,Myroxylon balsamum,C,330,76,330,0,330,0,1
p3,train,Myroxylon peruiferum,C,337,1,337,0,337,0,1
p3,train,Nauclea diderrichii,A,384,5,375,9,375,0,1
p3,train,Nesogordonia kabingaensis,B,3,1,0,3,0,0,1
p3,train,Nesogordonia papaverifera,B,280,7,280,0,0,280,1
p3,train,Pachyelasma tessmannii,C,259,7,259,0,259,0,1
p3,train,Pericopsis elata,A,199,3,196,3,196,0,1
p3,train,Petersianthus macrocarpus,A,330,11,320,10,0,320,1
p3,train,Piptadeniastrum africanum,A,227,14,206,21,206,0,1
p3,train,Prunus serotina,C,274,1,274,0,274,0,1
p3,train,Pterocarpus erinaceus,B,242,7,242,0,0,242,1
p3,train,Pterocarpus macrocarpus,B,339,6,339,0,339,0,1
p3,train,Pterocarpus soyauxii,A,402,14,377,25,377,0,1
p3,train,Pterocarpus tinctorius,B,15,5,0,15,0,0,1
p3,train,Pycnanthus angolensis,A,323,10,320,3,0,320,1
p3,train,Qualea paraensis,C,178,1,178,0,178,0,1
p3,train,Quercus robur,C,321,6,321,0,321,0,1
p3,train,Quercus rubra,C,227,2,227,0,227,0,1
p3,train,Samanea saman,C,168,1,168,0,168,0,1
p3,train,Sindora cochinchinensis,C,206,2,206,0,206,0,1
p3,train,Tectona grandis,C,150,1,150,0,150,0,1
p3,train,Terminalia ivorensis,B,280,7,280,0,0,280,1
p3,train,Terminalia superba,A,156,18,133,23,133,0,1
p3,train,Tetraberlinia bifoliolata,C,312,6,312,0,312,0,1
p3,train,Tieghemella heckelii,A,324,9,320,4,0,320,1
p3,train,Toona sureni,C,100,1,100,0,100,0,1
p3,train,Triplochiton scleroxylon,A,329,9,322,7,0,322,1
p3,train,Xylia xylocarpa,C,544,5,544,0,544,0,1
p3,train,Zanthoxylum gilletii,A,326,10,320,6,0,320,1
p3,train,Zanthoxylum lemairei,B,11,2,0,11,0,0,1
p3,val,Acacia melanoxylon,C,116,1,116,0,116,0,1
p3,val,Acer saccharinum,C,0,0,0,0,0,0,0
p3,val,Afzelia africana,A,6,4,3,3,3,0,1
p3,val,Afzelia bella,A,43,2,40,3,0,40,1
p3,val,Afzelia bipindensis,B,3,1,0,3,0,0,1
p3,val,Afzelia cuanzensis,B,3,1,0,3,0,0,1
p3,val,Afzelia pachyloba,A,17,2,16,1,16,0,1
p3,val,Afzelia quanzensis,B,32,1,32,0,32,0,1
p3,val,Aglaia cucullata,C,58,2,58,0,0,58,1
p3,val,Albizia adianthifolia,A,41,2,40,1,0,40,1
p3,val,Albizia antunesiana,B,2,1,0,2,0,0,1
p3,val,Albizia chinensis,B,62,2,62,0,0,62,1
p3,val,Albizia ferruginea,A,71,3,70,1,0,70,1
p3,val,Albizia glaberrima,B,40,1,40,0,0,40,1
p3,val,Albizia zygia,B,39,1,39,0,0,39,1
p3,val,Alstonia boonei,A,43,2,40,3,0,40,1
p3,val,Amphimas ferrugineus,B,3,1,0,3,0,0,1
p3,val,Amphimas pterocarpoides,A,74,3,71,3,0,71,1
p3,val,Anthonotha fragrans,B,40,1,40,0,0,40,1
p3,val,Anthonotha macrophylla,B,3,1,0,3,0,0,1
p3,val,Antrocaryon micraster,B,40,1,40,0,0,40,1
p3,val,Antrocaryon nannanii,B,3,1,0,3,0,0,1
p3,val,Artocarpus heterophyllus,C,0,0,0,0,0,0,0
p3,val,Autranella congolensis,A,62,2,59,3,59,0,1
p3,val,Bagassa guianensis,C,85,3,85,0,0,85,1
p3,val,Bombax ceiba,C,29,1,29,0,0,29,1
p3,val,Burretiodendron tonkinense,C,41,1,41,0,41,0,1
p3,val,Callitris columellaris,C,96,1,96,0,96,0,1
p3,val,Canarium album,B,0,0,0,0,0,0,0
p3,val,Canarium bengalense,B,60,2,60,0,0,60,1
p3,val,Canarium schweinfurthii,A,42,2,40,2,0,40,1
p3,val,Celtis adolfi-friderici,B,40,1,40,0,0,40,1
p3,val,Celtis gomphophylla,B,3,1,0,3,0,0,1
p3,val,Celtis mildbraedii,B,80,2,80,0,0,80,1
p3,val,Chrysophyllum africanum,B,2,1,0,2,0,0,1
p3,val,Chrysophyllum lacourtianum,B,3,1,0,3,0,0,1
p3,val,Chrysophyllum perpulchrum,B,40,1,40,0,0,40,1
p3,val,Cinnamomum camphora,C,70,1,70,0,70,0,1
p3,val,Clarisia racemosa,C,151,1,151,0,151,0,1
p3,val,Colophospermum mopane,C,0,0,0,0,0,0,0
p3,val,Cryptomeria japonica,C,30,1,30,0,0,30,1
p3,val,Cunninghamia lanceolata,C,76,1,76,0,76,0,1
p3,val,Cylicodiscus gabunensis,C,95,1,95,0,95,0,1
p3,val,Dalbergia cochinchinensis,C,0,0,0,0,0,0,0
p3,val,Dalbergia melanoxylon,C,84,3,84,0,0,84,1
p3,val,Dalbergia oliveri,C,30,1,30,0,30,0,1
p3,val,Detarium macrocarpum,C,0,0,0,0,0,0,0
p3,val,Dicorynia guianensis,C,30,1,30,0,0,30,1
p3,val,Didelotia africana,C,57,1,57,0,57,0,1
p3,val,Diospyros crassiflora,B,2,1,0,2,0,0,1
p3,val,Diospyros salletii,B,80,1,80,0,80,0,1
p3,val,Dipterocarpus costatus,C,30,1,30,0,0,30,1
p3,val,Distemonanthus benthamianus,C,53,1,53,0,53,0,1
p3,val,Entandrophragma angolense,A,39,2,38,1,0,38,1
p3,val,Entandrophragma candollei,B,2,1,0,2,0,0,1
p3,val,Entandrophragma cylindricum,A,97,2,96,1,96,0,1
p3,val,Entandrophragma utile,A,95,2,94,1,94,0,1
p3,val,Erythrophleum ivorense,B,0,0,0,0,0,0,0
p3,val,Erythrophleum suaveolens,B,3,1,0,3,0,0,1
p3,val,Eucalyptus grandis,C,0,0,0,0,0,0,0
p3,val,Eucalyptus saligna,C,0,0,0,0,0,0,0
p3,val,Fokienia hodginsii,C,99,1,99,0,99,0,1
p3,val,Fraxinus excelsior,C,57,1,57,0,57,0,1
p3,val,Funtumia africana,A,43,2,40,3,0,40,1
p3,val,Funtumia elastica,B,80,2,80,0,0,80,1
p3,val,Gilbertiodendron dewevrei,A,135,2,134,1,134,0,1
p3,val,Guarea cedrata,C,0,0,0,0,0,0,0
p3,val,Guibourtia arnoldiana,A,58,3,57,1,0,57,1
p3,val,Guibourtia coleosperma,B,0,0,0,0,0,0,0
p3,val,Guibourtia demeusei,B,1,1,0,1,0,0,1
p3,val,Hevea brasiliensis,C,120,3,120,0,0,120,1
p3,val,Holoptelea grandis,A,43,2,40,3,0,40,1
p3,val,Hopea pierrei,C,151,1,151,0,151,0,1
p3,val,Hymenaea courbaril,C,201,1,201,0,201,0,1
p3,val,Khaya anthotheca,B,3,3,0,3,0,0,1
p3,val,Khaya grandifoliola,B,80,2,80,0,0,80,1
p3,val,Khaya ivorensis,B,40,1,40,0,0,40,1
p3,val,Khaya senegalensis,B,131,1,131,0,131,0,1
p3,val,Klainedoxa gabonensis,A,2,1,0,2,0,0,1
p3,val,Lithocarpus ducampii,C,94,1,94,0,94,0,1
p3,val,Lophira alata,A,133,2,131,2,131,0,1
p3,val,Magnolia hypolampra,C,0,0,0,0,0,0,0
p3,val,Mammea africana,A,42,2,40,2,0,40,1
p3,val,Milicia excelsa,A,61,3,60,1,60,0,1
p3,val,Millettia laurentii,A,1,1,0,1,0,0,1
p3,val,Morus mesozygia,A,44,5,40,4,0,40,1
p3,val,Musanga cecropioides,A,43,2,40,3,0,40,1
p3,val,Myroxylon balsamum,C,137,137,137,0,137,0,1
p3,val,Myroxylon peruiferum,C,0,0,0,0,0,0,0
p3,val,Nauclea diderrichii,A,6,6,4,2,4,0,1
p3,val,Nesogordonia kabingaensis,B,3,1,0,3,0,0,1
p3,val,Nesogordonia papaverifera,B,80,2,80,0,0,80,1
p3,val,Pachyelasma tessmannii,C,65,2,65,0,65,0,1
p3,val,Pericopsis elata,A,89,2,86,3,86,0,1
p3,val,Petersianthus macrocarpus,A,41,2,39,2,0,39,1
p3,val,Piptadeniastrum africanum,A,97,2,96,1,96,0,1
p3,val,Prunus serotina,C,0,0,0,0,0,0,0
p3,val,Pterocarpus erinaceus,B,62,2,62,0,0,62,1
p3,val,Pterocarpus macrocarpus,B,47,1,47,0,47,0,1
p3,val,Pterocarpus soyauxii,A,61,8,54,7,54,0,1
p3,val,Pterocarpus tinctorius,B,3,3,0,3,0,0,1
p3,val,Pycnanthus angolensis,A,41,2,40,1,0,40,1
p3,val,Qualea paraensis,C,172,1,172,0,172,0,1
p3,val,Quercus robur,C,47,1,47,0,47,0,1
p3,val,Quercus rubra,C,106,1,106,0,106,0,1
p3,val,Samanea saman,C,0,0,0,0,0,0,0
p3,val,Sindora cochinchinensis,C,67,1,67,0,67,0,1
p3,val,Tectona grandis,C,140,1,140,0,140,0,1
p3,val,Terminalia ivorensis,B,40,1,40,0,0,40,1
p3,val,Terminalia superba,A,1,1,0,1,0,0,1
p3,val,Tetraberlinia bifoliolata,C,47,1,47,0,47,0,1
p3,val,Tieghemella heckelii,A,43,2,40,3,0,40,1
p3,val,Toona sureni,C,0,0,0,0,0,0,0
p3,val,Triplochiton scleroxylon,A,43,2,40,3,0,40,1
p3,val,Xylia xylocarpa,C,136,2,136,0,136,0,1
p3,val,Zanthoxylum gilletii,A,42,2,40,2,0,40,1
p3,val,Zanthoxylum lemairei,B,3,1,0,3,0,0,1
p3,test,Acacia melanoxylon,C,0,0,0,0,0,0,0
p3,test,Acer saccharinum,C,0,0,0,0,0,0,0
p3,test,Afzelia africana,A,57,3,55,2,55,0,1
p3,test,Afzelia bella,A,40,1,40,0,0,40,1
p3,test,Afzelia bipindensis,B,2,1,0,2,0,0,1
p3,test,Afzelia cuanzensis,B,3,1,0,3,0,0,1
p3,test,Afzelia pachyloba,A,21,2,20,1,20,0,1
p3,test,Afzelia quanzensis,B,76,2,76,0,76,0,1
p3,test,Aglaia cucullata,C,30,1,30,0,0,30,1
p3,test,Albizia adianthifolia,A,42,2,40,2,0,40,1
p3,test,Albizia antunesiana,B,2,1,0,2,0,0,1
p3,test,Albizia chinensis,B,31,1,31,0,0,31,1
p3,test,Albizia ferruginea,A,43,4,40,3,0,40,1
p3,test,Albizia glaberrima,B,40,1,40,0,0,40,1
p3,test,Albizia zygia,B,79,2,79,0,0,79,1
p3,test,Alstonia boonei,A,43,2,40,3,0,40,1
p3,test,Amphimas ferrugineus,B,3,1,0,3,0,0,1
p3,test,Amphimas pterocarpoides,A,43,2,40,3,0,40,1
p3,test,Anthonotha fragrans,B,40,1,40,0,0,40,1
p3,test,Anthonotha macrophylla,B,3,1,0,3,0,0,1
p3,test,Antrocaryon micraster,B,79,2,79,0,0,79,1
p3,test,Antrocaryon nannanii,B,3,1,0,3,0,0,1
p3,test,Artocarpus heterophyllus,C,143,1,143,0,143,0,1
p3,test,Autranella congolensis,A,66,2,63,3,63,0,1
p3,test,Bagassa guianensis,C,83,3,83,0,0,83,1
p3,test,Bombax ceiba,C,59,2,59,0,0,59,1
p3,test,Burretiodendron tonkinense,C,40,1,40,0,40,0,1
p3,test,Callitris columellaris,C,103,1,103,0,103,0,1
p3,test,Canarium album,B,143,1,143,0,143,0,1
p3,test,Canarium bengalense,B,30,1,30,0,0,30,1
p3,test,Canarium schweinfurthii,A,43,2,40,3,0,40,1
p3,test,Celtis adolfi-friderici,B,40,1,40,0,0,40,1
p3,test,Celtis gomphophylla,B,3,1,0,3,0,0,1
p3,test,Celtis mildbraedii,B,40,1,40,0,0,40,1
p3,test,Chrysophyllum africanum,B,1,1,0,1,0,0,1
p3,test,Chrysophyllum lacourtianum,B,3,1,0,3,0,0,1
p3,test,Chrysophyllum perpulchrum,B,40,1,40,0,0,40,1
p3,test,Cinnamomum camphora,C,80,1,80,0,80,0,1
p3,test,Clarisia racemosa,C,0,0,0,0,0,0,0
p3,test,Colophospermum mopane,C,152,1,152,0,152,0,1
p3,test,Cryptomeria japonica,C,63,2,63,0,0,63,1
p3,test,Cunninghamia lanceolata,C,56,1,56,0,56,0,1
p3,test,Cylicodiscus gabunensis,C,96,1,96,0,96,0,1
p3,test,Dalbergia cochinchinensis,C,0,0,0,0,0,0,0
p3,test,Dalbergia melanoxylon,C,28,1,28,0,0,28,1
p3,test,Dalbergia oliveri,C,60,2,60,0,60,0,1
p3,test,Detarium macrocarpum,C,0,0,0,0,0,0,0
p3,test,Dicorynia guianensis,C,60,2,60,0,0,60,1
p3,test,Didelotia africana,C,53,1,53,0,53,0,1
p3,test,Diospyros crassiflora,B,1,1,0,1,0,0,1
p3,test,Diospyros salletii,B,81,1,81,0,81,0,1
p3,test,Dipterocarpus costatus,C,60,2,60,0,0,60,1
p3,test,Distemonanthus benthamianus,C,60,1,60,0,60,0,1
p3,test,Entandrophragma angolense,A,43,4,40,3,0,40,1
p3,test,Entandrophragma candollei,B,2,1,0,2,0,0,1
p3,test,Entandrophragma cylindricum,A,105,2,104,1,104,0,1
p3,test,Entandrophragma utile,A,97,2,96,1,96,0,1
p3,test,Erythrophleum ivorense,B,128,1,128,0,128,0,1
p3,test,Erythrophleum suaveolens,B,1,1,0,1,0,0,1
p3,test,Eucalyptus grandis,C,40,1,40,0,40,0,1
p3,test,Eucalyptus saligna,C,0,0,0,0,0,0,0
p3,test,Fokienia hodginsii,C,102,1,102,0,102,0,1
p3,test,Fraxinus excelsior,C,54,1,54,0,54,0,1
p3,test,Funtumia africana,A,43,2,40,3,0,40,1
p3,test,Funtumia elastica,B,40,1,40,0,0,40,1
p3,test,Gilbertiodendron dewevrei,A,1,1,0,1,0,0,1
p3,test,Guarea cedrata,C,0,0,0,0,0,0,0
p3,test,Guibourtia arnoldiana,A,32,4,29,3,0,29,1
p3,test,Guibourtia coleosperma,B,0,0,0,0,0,0,0
p3,test,Guibourtia demeusei,B,2,2,0,2,0,0,1
p3,test,Hevea brasiliensis,C,120,3,120,0,0,120,1
p3,test,Holoptelea grandis,A,43,2,40,3,0,40,1
p3,test,Hopea pierrei,C,0,0,0,0,0,0,0
p3,test,Hymenaea courbaril,C,0,0,0,0,0,0,0
p3,test,Khaya anthotheca,B,1,1,0,1,0,0,1
p3,test,Khaya grandifoliola,B,40,1,40,0,0,40,1
p3,test,Khaya ivorensis,B,80,2,80,0,0,80,1
p3,test,Khaya senegalensis,B,0,0,0,0,0,0,0
p3,test,Klainedoxa gabonensis,A,136,2,132,4,132,0,1
p3,test,Lithocarpus ducampii,C,120,1,120,0,120,0,1
p3,test,Lophira alata,A,0,0,0,0,0,0,0
p3,test,Magnolia hypolampra,C,214,1,214,0,214,0,1
p3,test,Mammea africana,A,43,2,40,3,0,40,1
p3,test,Milicia excelsa,A,35,4,32,3,32,0,1
p3,test,Millettia laurentii,A,111,2,110,1,110,0,1
p3,test,Morus mesozygia,A,41,2,40,1,0,40,1
p3,test,Musanga cecropioides,A,43,2,40,3,0,40,1
p3,test,Myroxylon balsamum,C,103,103,103,0,103,0,1
p3,test,Myroxylon peruiferum,C,0,0,0,0,0,0,0
p3,test,Nauclea diderrichii,A,6,6,4,2,4,0,1
p3,test,Nesogordonia kabingaensis,B,3,1,0,3,0,0,1
p3,test,Nesogordonia papaverifera,B,40,1,40,0,0,40,1
p3,test,Pachyelasma tessmannii,C,33,1,33,0,33,0,1
p3,test,Pericopsis elata,A,87,2,84,3,84,0,1
p3,test,Petersianthus macrocarpus,A,43,2,40,3,0,40,1
p3,test,Piptadeniastrum africanum,A,101,2,100,1,100,0,1
p3,test,Prunus serotina,C,0,0,0,0,0,0,0
p3,test,Pterocarpus erinaceus,B,32,1,32,0,0,32,1
p3,test,Pterocarpus macrocarpus,B,46,1,46,0,46,0,1
p3,test,Pterocarpus soyauxii,A,60,6,55,5,55,0,1
p3,test,Pterocarpus tinctorius,B,3,3,0,3,0,0,1
p3,test,Pycnanthus angolensis,A,41,2,40,1,0,40,1
p3,test,Qualea paraensis,C,0,0,0,0,0,0,0
p3,test,Quercus robur,C,46,1,46,0,46,0,1
p3,test,Quercus rubra,C,108,1,108,0,108,0,1
p3,test,Samanea saman,C,158,1,158,0,158,0,1
p3,test,Sindora cochinchinensis,C,81,1,81,0,81,0,1
p3,test,Tectona grandis,C,0,0,0,0,0,0,0
p3,test,Terminalia ivorensis,B,80,2,80,0,0,80,1
p3,test,Terminalia superba,A,133,2,132,1,132,0,1
p3,test,Tetraberlinia bifoliolata,C,45,1,45,0,45,0,1
p3,test,Tieghemella heckelii,A,43,2,40,3,0,40,1
p3,test,Toona sureni,C,92,1,92,0,92,0,1
p3,test,Triplochiton scleroxylon,A,46,2,40,6,0,40,1
p3,test,Xylia xylocarpa,C,68,1,68,0,68,0,1
p3,test,Zanthoxylum gilletii,A,43,2,40,3,0,40,1
p3,test,Zanthoxylum lemairei,B,2,1,0,2,0,0,1
