protocol,split,species,protocol_group,total_samples,groups_in_split,macro_samples,micro_samples,phase1_macro_samples,phase2_macro_samples,present_in_split
p2,val,Canarium schweinfurthii,A,46,3,40,6,0,40,1
p2,val,Celtis adolfi-friderici,B,40,1,40,0,0,40,1
p2,val,Celtis gomphophylla,B,3,1,0,3,0,0,1
p2,val,Celtis mildbraedii,B,40,1,40,0,0,40,1
p2,val,Chrysophyllum africanum,B,2,1,0,2,0,0,1
p2,val,Chrysophyllum lacourtianum,B,3,1,0,3,0,0,1
p2,val,Chrysophyllum perpulchrum,B,40,1,40,0,0,40,1
p2,val,Diospyros crassiflora,B,2,1,0,2,0,0,1
p2,val,Diospyros salletii,B,80,1,80,0,80,0,1
p2,val,Entandrophragma angolense,A,46,5,40,6,0,40,1
p2,val,Entandrophragma candollei,B,2,1,0,2,0,0,1
p2,val,Entandrophragma cylindricum,A,105,2,104,1,104,0,1
p2,val,Entandrophragma utile,A,97,2,96,1,96,0,1
p2,val,Erythrophleum ivorense,B,0,0,0,0,0,0,0
p2,val,Erythrophleum suaveolens,B,3,1,0,3,0,0,1
p2,val,Funtumia africana,A,43,2,40,3,0,40,1
p2,val,Funtumia elastica,B,40,1,40,0,0,40,1
p2,val,Gilbertiodendron dewevrei,A,1,1,0,1,0,0,1
p2,val,Guibourtia arnoldiana,A,37,7,29,8,0,29,1
p2,val,Guibourtia coleosperma,B,0,0,0,0,0,0,0
p2,val,Guibourtia demeusei,B,2,2,0,2,0,0,1
p2,val,Holoptelea grandis,A,43,2,40,3,0,40,1
p2,val,Khaya anthotheca,B,3,3,0,3,0,0,1
p2,val,Khaya grandifoliola,B,80,2,80,0,0,80,1
p2,val,Khaya ivorensis,B,80,2,80,0,0,80,1
p2,val,Khaya senegalensis,B,0,0,0,0,0,0,0
p2,val,Klainedoxa gabonensis,A,2,1,0,2,0,0,1
p2,val,Lophira alata,A,133,2,131,2,131,0,1
p2,val,Mammea africana,A,43,2,40,3,0,40,1
p2,val,Milicia excelsa,A,46,10,32,14,32,0,1
p2,val,Millettia laurentii,A,111,2,110,1,110,0,1
p2,val,Morus mesozygia,A,44,5,40,4,0,40,1
p2,val,Musanga cecropioides,A,43,2,40,3,0,40,1
p2,val,Nauclea diderrichii,A,9,8,4,5,4,0,1
p2,val,Nesogordonia kabingaensis,B,3,1,0,3,0,0,1
p2,val,Nesogordonia papaverifera,B,40,1,40,0,0,40,1
p2,val,Pericopsis elata,A,89,2,86,3,86,0,1
p2,val,Petersianthus macrocarpus,A,43,2,40,3,0,40,1
p2,val,Piptadeniastrum africanum,A,101,2,100,1,100,0,1
p2,val,Pterocarpus erinaceus,B,32,1,32,0,0,32,1
p2,val,Pterocarpus macrocarpus,B,46,1,46,0,46,0,1
p2,val,Pterocarpus soyauxii,A,124,3,123,1,123,0,1
p2,val,Pterocarpus tinctorius,B,3,3,0,3,0,0,1
p2,val,Pycnanthus angolensis,A,41,2,40,1,0,40,1
p2,val,Terminalia ivorensis,B,80,2,80,0,0,80,1
p2,val,Terminalia superba,A,133,2,132,1,132,0,1
p2,val,Tieghemella heckelii,A,43,2,40,3,0,40,1
p2,val,Triplochiton scleroxylon,A,46,2,40,6,0,40,1
p2,val,Zanthoxylum gilletii,A,45,3,40,5,0,40,1
p2,val,Zanthoxylum lemairei,B,3,1,0,3,0,0,1
p2,test,Afzelia africana,A,10,6,4,6,4,0,1
p2,test,Afzelia bella,A,43,2,40,3,0,40,1
p2,test,Afzelia bipindensis,B,2,1,0,2,0,0,1
p2,test,Afzelia cuanzensis,B,3,1,0,3,0,0,1
p2,test,Afzelia pachyloba,A,21,2,20,1,20,0,1
p2,test,Afzelia quanzensis,B,32,1,32,0,32,0,1
p2,test,Albizia adianthifolia,A,49,5,40,9,0,40,1
p2,test,Albizia antunesiana,B,2,1,0,2,0,0,1
p2,test,Albizia chinensis,B,31,1,31,0,0,31,1
p2,test,Albizia ferruginea,A,71,3,70,1,0,70,1
p2,test,Albizia glaberrima,B,40,1,40,0,0,40,1
p2,test,Albizia zygia,B,39,1,39,0,0,39,1
p2,test,Alstonia boonei,A,46,3,40,6,0,40,1
p2,test,Amphimas ferrugineus,B,3,1,0,3,0,0,1
p2,test,Amphimas pterocarpoides,A,46,3,40,6,0,40,1
p2,test,Anthonotha fragrans,B,40,1,40,0,0,40,1
p2,test,Anthonotha macrophylla,B,3,1,0,3,0,0,1
p2,test,Antrocaryon micraster,B,40,1,40,0,0,40,1
p2,test,Antrocaryon nannanii,B,3,1,0,3,0,0,1
p2,test,Autranella congolensis,A,66,2,63,3,63,0,1
p2,test,Canarium album,B,0,0,0,0,0,0,0
p2,test,Canarium bengalense,B,60,2,60,0,0,60,1
p2,test,Canarium schweinfurthii,A,45,3,40,5,0,40,1
p2,test,Celtis adolfi-friderici,B,40,1,40,0,0,40,1
p2,test,Celtis gomphophylla,B,3,1,0,3,0,0,1
p2,test,Celtis mildbraedii,B,80,2,80,0,0,80,1
p2,test,Chrysophyllum africanum,B,1,1,0,1,0,0,1
p2,test,Chrysophyllum lacourtianum,B,3,1,0,3,0,0,1
p2,test,Chrysophyllum perpulchrum,B,40,1,40,0,0,40,1
p2,test,Diospyros crassiflora,B,1,1,0,1,0,0,1
p2,test,Diospyros salletii,B,81,1,81,0,81,0,1
p2,test,Entandrophragma angolense,A,54,10,38,16,0,38,1
p2,test,Entandrophragma candollei,B,2,1,0,2,0,0,1
p2,test,Entandrophragma cylindricum,A,97,2,96,1,96,0,1
p2,test,Entandrophragma utile,A,95,2,94,1,94,0,1
p2,test,Erythrophleum ivorense,B,128,1,128,0,128,0,1
p2,test,Erythrophleum suaveolens,B,1,1,0,1,0,0,1
p2,test,Funtumia africana,A,46,3,40,6,0,40,1
p2,test,Funtumia elastica,B,80,2,80,0,0,80,1
p2,test,Gilbertiodendron dewevrei,A,135,2,134,1,134,0,1
p2,test,Guibourtia arnoldiana,A,58,3,57,1,0,57,1
p2,test,Guibourtia coleosperma,B,0,0,0,0,0,0,0
p2,test,Guibourtia demeusei,B,2,2,0,2,0,0,1
p2,test,Holoptelea grandis,A,46,3,40,6,0,40,1
p2,test,Khaya anthotheca,B,3,3,0,3,0,0,1
p2,test,Khaya grandifoliola,B,40,1,40,0,0,40,1
p2,test,Khaya ivorensis,B,40,1,40,0,0,40,1
p2,test,Khaya senegalensis,B,131,1,131,0,131,0,1
p2,test,Klainedoxa gabonensis,A,136,2,132,4,132,0,1
p2,test,Lophira alata,A,0,0,0,0,0,0,0
p2,test,Mammea africana,A,45,3,40,5,0,40,1
p2,test,Milicia excelsa,A,61,3,60,1,60,0,1
p2,test,Millettia laurentii,A,1,1,0,1,0,0,1
p2,test,Morus mesozygia,A,81,3,80,1,0,80,1
p2,test,Musanga cecropioides,A,47,3,40,7,0,40,1
p2,test,Nauclea diderrichii,A,9,7,4,5,4,0,1
p2,test,Nesogordonia kabingaensis,B,3,1,0,3,0,0,1
p2,test,Nesogordonia papaverifera,B,80,2,80,0,0,80,1
p2,test,Pericopsis elata,A,87,2,84,3,84,0,1
p2,test,Petersianthus macrocarpus,A,44,3,39,5,0,39,1
p2,test,Piptadeniastrum africanum,A,97,2,96,1,96,0,1
p2,test,Pterocarpus erinaceus,B,62,2,62,0,0,62,1
p2,test,Pterocarpus macrocarpus,B,47,1,47,0,47,0,1
p2,test,Pterocarpus soyauxii,A,172,3,171,1,171,0,1
p2,test,Pterocarpus tinctorius,B,3,3,0,3,0,0,1
p2,test,Pycnanthus angolensis,A,42,3,40,2,0,40,1
p2,test,Terminalia ivorensis,B,40,1,40,0,0,40,1
p2,test,Terminalia superba,A,1,1,0,1,0,0,1
p2,test,Tieghemella heckelii,A,43,2,40,3,0,40,1
p2,test,Triplochiton scleroxylon,A,43,2,40,3,0,40,1
p2,test,Zanthoxylum gilletii,A,43,2,40,3,0,40,1
p2,test,Zanthoxylum lemairei,B,2,1,0,2,0,0,1
